Category,Sub-Category,Website,Name,Address,latitude,longitude,Info,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
Reduce,Food,https://www.breadandbutterthing.org/,Bread and Butter Thing,Longbenton Community Centre,55.011319,-1.582532,"Food hubs offer weekly groceries for a fraction of high street prices. The food available varies weekly and includes fresh fruit and vegetables, chilled food, and cupboard staples. Not only is the food available at low cost, it is also environmentally positive as it redistributes large quantities of perfectly good food that would have otherwise gone to waste.",Closed,2:00pm,Closed,Closed,Closed,Closed,Closed
Reduce,Food,https://www.breadandbutterthing.org/,Bread and Butter Thing,Shiremoor Adventure Playground,55.03249479,-1.5072684,"Food hubs offer weekly groceries for a fraction of high street prices. The food available varies weekly and includes fresh fruit and vegetables, chilled food, and cupboard staples. Not only is the food available at low cost, it is also environmentally positive as it redistributes large quantities of perfectly good food that would have otherwise gone to waste.",Closed,Closed,1.30pm,Closed,Closed,Closed,Closed
Reduce,Food,https://www.breadandbutterthing.org/,Bread and Butter Thing,Fordley Primary School,55.05800241,-1.58774336,"Food hubs offer weekly groceries for a fraction of high street prices. The food available varies weekly and includes fresh fruit and vegetables, chilled food, and cupboard staples. Not only is the food available at low cost, it is also environmentally positive as it redistributes large quantities of perfectly good food that would have otherwise gone to waste.",Closed,Closed,Closed, 1.45pm,Closed,Closed,Closed
Reduce,Food,https://www.breadandbutterthing.org/,Bread and Butter Thing,Family Gateway,55.0011074,-1.497620418,"Food hubs offer weekly groceries for a fraction of high street prices. The food available varies weekly and includes fresh fruit and vegetables, chilled food, and cupboard staples. Not only is the food available at low cost, it is also environmentally positive as it redistributes large quantities of perfectly good food that would have otherwise gone to waste.",Closed,Closed,Closed,Closed,1.30pm,Closed,Closed
Repair,Bikes,http://www.bike4health.org/workshop/?gclid=Cj0KCQjw4s-kBhDqARIsAN-ipH2CQWSTMRC1bH8p-A5R2tZDJVICUh1Kq2YwijdMSsWtOnPm87mSIkQaAompEALw_wcB,Bike4Health Workshop,Unit 5A: North Tyne Industrial Estate: Whitley Rd: Benton: Newcastle upon Tyne NE12 9SZ,55.01889009,-1.542983365,We work on everything from routine fixes to complex suspension servicing: ebikes: adapted cycles and everything in between. We also offer collection & return: bike fitting: setup and adjustment advice: as well as custom wheel and bike builds. ,8 am–5 pm,10 am–5 pm,9 am–5 pm,9 am–7 pm,9 am–5 pm,Closed,Closed
Reuse,Homeware,https://www.huscrofts.co.uk/,Huscrofts Decorative Salvage ,166: 167 Grey St: North Shields NE30 2EH,55.01250093,-1.443070863,We buy and sell Vintage: Retro: Antique and Industrial items for your home or business,Closed,Closed,11 am–4 pm,11 am–5 pm,11 am–5 pm,9:30 am–5 pm,Closed
Reuse,Books,https://keelrowbooks.com/,Keel Row Bookshop,11 Fenwick Terrace: Preston Rd: North Shields NE29 0LU,55.01162643,-1.449051565,Keel Row Books is the longest established antiquarian and second-hand bookshop in the North East of England,10 am–5 pm,10 am–5 pm,10 am–5 pm,10 am–5 pm,10 am–5 pm,10 am–5 pm,Closed
Reuse,Books,https://www.instagram.com/olivers_bookshop_whitley_bay/?hl=en-gb,Olivers Bookshop,48A Whitley Rd: Whitley Bay NE26 2NF,55.03943762,-1.436908516,Great old shop stuffed to the ceilings with books of all hues: comics: magazines: cards and other bits and bobs. ,11 am–4 pm,Closed,Closed,11 am–4 pm,11 am–4 pm,11 am–4 pm,Closed
Reduce,Food,https://www.greggs.co.uk/news/everything-you-need-to-know-about-greggs-outlet-shops,Greggs Outlet,"18 Tynemouth Rd, Howdon, Wallsend NE28 0LF",54.99663605,-1.502280417,"The idea of the Greggs Outlet is to help cut down on food waste and provide cheaper food to people in need. The Outlets sell food that is a day old, but still perfectly safe to eat - with discounts of up to 75% off. Some of the profits of each Outlet also go to The Greggs Foundation which is given to local community groups.",7 am–4:30 pm,7 am–4:30 pm,7 am–4:30 pm,7 am–4:30 pm,7 am–4:30 pm,7 am–4:30 pm,8 am–3 pm
Reduce,Food,https://www.greggs.co.uk/news/everything-you-need-to-know-about-greggs-outlet-shops,Greggs Outlet,"265 Welbeck Rd, Walker, Newcastle upon Tyne NE6 2QX",54.97408584,-1.562168188,"The idea of the Greggs Outlet is to help cut down on food waste and provide cheaper food to people in need. The Outlets sell food that is a day old, but still perfectly safe to eat - with discounts of up to 75% off. Some of the profits of each Outlet also go to The Greggs Foundation which is given to local community groups.",7 am–4 pm,7 am–4 pm,7 am–4 pm,7 am–4 pm,7 am–4 pm,7:30 am–3:30 pm,8:30 am–3 pm
